City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Mangrol,IN,2021-11-20 21:52:19,21.1167,70.1167,79.34,66,53,10.69
106,San Rafael,AR,2021-11-20 21:48:58,-34.6177,-68.3301,89.02,18,31,5.32
107,Kishi,NG,2021-11-20 21:52:20,9.0833,3.85,79.99,32,1,3.22
108,San Patricio,US,2021-11-20 21:52:20,28.017,-97.5169,80.47,58,68,13.87
109,Asyut,EG,2021-11-20 21:52:20,27.181,31.1837,64.58,48,7,9.06
110,Noumea,NC,2021-11-20 21:49:14,-22.2763,166.4572,76.98,87,100,10.58
111,Lata,PT,2021-11-20 21:52:21,40.1629,-8.3327,57.61,82,72,4.38
112,Airai,TL,2021-11-20 21:52:21,-8.9266,125.4092,63.75,84,40,1.43
113,Arraial Do Cabo,BR,2021-11-20 21:51:16,-22.9661,-42.0278,71.56,78,75,9.22
114,Sistranda,NO,2021-11-20 21:52:22,63.7256,8.834,41.9,60,99,16.98
115,Bafq,IR,2021-11-20 21:52:22,31.6128,55.4107,54.18,40,28,3.31
116,Vincennes,FR,2021-11-20 21:52:22,48.85,2.4333,45.55,93,90,1.14
117,Minuri,PH,2021-11-20 21:52:23,16.535,121.8574,72.0,97,99,0.67
118,Sao Paulo Do Potengi,BR,2021-11-20 21:52:23,-5.895,-35.7628,82.08,68,100,9.53
119,At-Bashi,KG,2021-11-20 21:52:23,41.1702,75.8106,15.98,53,0,3.96
120,Port Lincoln,AU,2021-11-20 21:52:24,-34.7333,135.8667,57.38,65,11,13.69
121,Beringovskiy,RU,2021-11-20 21:42:54,63.05,179.3167,-2.02,93,42,7.81
122,Tuktoyaktuk,CA,2021-11-20 21:52:24,69.4541,-133.0374,-9.4,77,75,6.91
123,Port Alfred,ZA,2021-11-20 21:52:24,-33.5906,26.891,64.42,77,99,17.43
